咖喱	ga'li
曾毅	zeng'yi
音乐	yin'yue
了解	liao'jie
目的	mu'di
奇偶	ji'ou
重庆	chong'qing
感觉	gan'jue
觉得	jue'de
重新	chong'xin
不了	bu'liao
自觉	zi'jue
西藏	xi'zang
仔细	zi'xi
角色	jue'se
便宜	pian'yi
重复	chong'fu
的确	di'que
视觉	shi'jue
呼吁	hu'yu
重组	chong'zu
着力	zhuo'li
没收	mo'shou
主角	zhu'jue
双重	shuang'chong
着眼	zhuo'yan
弹性	tan'xing
着重	zhuo'zhong
穿着	chuan'zhuo
重建	chong'jian
薄弱	bo'ruo
反弹	fan'tan
还得	hai'dei
着急	zhao'ji
就得	jiu'dei
泄露	xie'lou
对称	dui'chen
出差	chu'chai
弹出	tan'chu
发觉	fa'jue
重重	chong'chong
不觉	bu'jue
端的	duan'di
先得	xian'dei
标的	biao'di
也得	ye'dei
轻薄	qing'bo
重回	chong'hui
的哥	di'ge
多重	duo'chong
刹车	sha'che
重启	chong'qi
重申	chong'shen
明了	ming'liao
柏林	bo'lin
重返	chong'fan
重现	chong'xian
着手	zhuo'shou
堵塞	du'se
得见	dei'jian
湖泊	hu'po
角逐	jue'zhu
青藏	qing'zang
着想	zhuo'xiang
外传	wai'zhuan
弹簧	tan'huang
重生	chong'sheng
得有	dei'you
着装	zhuo'zhuang
重打	chong'da
重温	chong'wen
都得	dou'dei
了无	liao'wu
觉悟	jue'wu
睡着	shui'zhao
朝气	zhao'qi
衣着	yi'zhuo
淹没	yan'mo
着实	zhuo'shi
藏族	zang'zu
露面	lou'mian
了事	liao'shi
察觉	cha'jue
附着	fu'zhuo
弹力	tan'li
重叠	chong'die
身着	shen'zhuo
可恶	ke'wu
重阳	chong'yang
重塑	chong'su
重振	chong'zhen
得快	dei'kuai
沉着	chen'zhuo
侥幸	jiao'xing
直觉	zhi'jue
总得	zong'dei
自传	zi'zhuan
宝藏	bao'zang
阻塞	zu'se
觉醒	jue'xing
称职	chen'zhi
重演	chong'yan
听觉	ting'jue
着色	zhuo'se
非得	fei'dei
得要	dei'yao
警觉	jing'jue
你得	ni'dei
着陆	zhuo'lu
吐血	tu'xie
他得	ta'dei
了得	liao'de
了却	liao'que
薄荷	bo'he
罚没	fa'mo
相称	xiang'chen
重来	chong'lai
配角	pei'jue
着落	zhuo'luo
触觉	chu'jue
重播	chong'bo
倔强	jue'jiang
称心	chen'xin
重修	chong'xiu
朝夕	zhao'xi
猛地	meng'de
孟山都	meng'shan'du
得人	dei'ren
