无事不登三宝殿	wu'shi'bu'deng'san'bao'dian
六一国际儿童节	liu'yi'guo'ji'er'tong'jie
中国人民解放军	zhong'guo'ren'min'jie'fang'jun
不管三七二十一	bu'guan'san'qi'er'shi'yi
浪子回头金不换	lang'zi'hui'tou'jin'bu'huan
针尖儿对麦芒儿	zhen'jian'er'dui'mai'mang'er
死猪不怕开水烫	si'zhu'bu'pa'kai'shui'tang
醉翁之意不在酒	zui'weng'zhi'yi'bu'zai'jiu
一失足成千古恨	yi'shi'zu'cheng'qian'gu'hen
五一国际劳动节	wu'yi'guo'ji'lao'dong'jie
人民代表大会	ren'min'dai'biao'da'hui
世界贸易组织	shi'jie'mao'yi'zu'zhi
百闻不如一见	bai'wen'bu'ru'yi'jian
吉尔吉斯斯坦	ji'er'ji'si'si'tan
辩证唯物主义	bian'zheng'wei'wu'zhu'yi
历史唯物主义	li'shi'wei'wu'zhu'yi
科学社会主义	ke'xue'she'hui'zhu'yi
职工代表大会	zhi'gong'dai'biao'da'hui
政治协商会议	zheng'zhi'xie'shang'hui'yi
脱氧核糖核酸	tuo'yang'he'tang'he'suan
化干戈为玉帛	hua'gan'ge'wei'yu'bo
不费吹灰之力	bu'fei'chui'hui'zhi'li
无所不用其极	wu'suo'bu'yong'qi'ji
不可同日而语	bu'ke'tong'ri'er'yu
挂羊头卖狗肉	gua'yang'tou'mai'gou'rou
全球定位系统	quan'qiu'ding'wei'xi'tong
有眼不识泰山	you'yan'bu'shi'tai'shan
反其道而行之	fan'qi'dao'er'xing'zhi
一二·九运动	yi'er'jiu'yun'dong
汉语拼音方案	han'yu'pin'yin'fang'an
中文信息处理	zhong'wen'xin'xi'chu'li
可望而不可即	ke'wang'er'bu'ke'ji
汉语水平考试	han'yu'shui'ping'kao'shi
老死不相往来	lao'si'bu'xiang'wang'lai
九牛二虎之力	jiu'niu'er'hu'zhi'li
一竿子插到底	yi'gan'zi'cha'dao'di
风马牛不相及	feng'ma'niu'bu'xiang'ji
